corridor,stretch,day,day_num,emission_kg_co2_daily,congestion_index,is_congested
Soa,Soa Centre,Monday,0,0.0,,0
Soa,Soa Centre,Tuesday,1,0.0,,0
Soa,Soa Centre,Wednesday,2,0.0,,0
Soa,Soa Centre,Thursday,3,0.0,,0
Soa,Soa Centre,Friday,4,0.0,,0
Soa,Soa Centre,Saturday,5,0.0,,0
Soa,Soa Centre,Sunday,6,0.0,,0
Soa,Soa Centre -Vallée vert,Monday,0,2022.1025,5.3147,1
Soa,Soa Centre -Vallée vert,Tuesday,1,1886.9094,4.9594,1
Soa,Soa Centre -Vallée vert,Wednesday,2,1886.9094,4.9594,1
Soa,Soa Centre -Vallée vert,Thursday,3,1388.6263,3.6497,1
Soa,Soa Centre -Vallée vert,Friday,4,834.3346,2.1929,1
Soa,Soa Centre -Vallée vert,Saturday,5,380.472,1.0,0
Soa,Soa Centre -Vallée vert,Sunday,6,10456.2206,27.4822,1
Soa,Vallée vert -Petite marché,Monday,0,134.8068,5.3147,1
Soa,Vallée vert -Petite marché,Tuesday,1,125.794,4.9594,1
Soa,Vallée vert -Petite marché,Wednesday,2,125.794,4.9594,1
Soa,Vallée vert -Petite marché,Thursday,3,92.5751,3.6497,1
Soa,Vallée vert -Petite marché,Friday,4,55.6223,2.1929,1
Soa,Vallée vert -Petite marché,Saturday,5,25.3648,1.0,0
Soa,Vallée vert -Petite marché,Sunday,6,697.0814,27.4822,1
Soa,Petite marché-Eleveur,Monday,0,269.6137,5.3147,1
Soa,Petite marché-Eleveur,Tuesday,1,251.5879,4.9594,1
Soa,Petite marché-Eleveur,Wednesday,2,251.5879,4.9594,1
Soa,Petite marché-Eleveur,Thursday,3,185.1502,3.6497,1
Soa,Petite marché-Eleveur,Friday,4,111.2446,2.1929,1
Soa,Petite marché-Eleveur,Saturday,5,50.7296,1.0,0
Soa,Petite marché-Eleveur,Sunday,6,1394.1627,27.4822,1
Soa,Eleveur-Total Ngoussou,Monday,0,269.6137,5.3147,1
Soa,Eleveur-Total Ngoussou,Tuesday,1,251.5879,4.9594,1
Soa,Eleveur-Total Ngoussou,Wednesday,2,251.5879,4.9594,1
Soa,Eleveur-Total Ngoussou,Thursday,3,185.1502,3.6497,1
Soa,Eleveur-Total Ngoussou,Friday,4,111.2446,2.1929,1
Soa,Eleveur-Total Ngoussou,Saturday,5,50.7296,1.0,0
Soa,Eleveur-Total Ngoussou,Sunday,6,1394.1627,27.4822,1
Soa,Total Ngoussou -Mobil Omnisport,Monday,0,269.6137,5.3147,1
Soa,Total Ngoussou -Mobil Omnisport,Tuesday,1,251.5879,4.9594,1
Soa,Total Ngoussou -Mobil Omnisport,Wednesday,2,251.5879,4.9594,1
