corridor,day,day_num,avg_congestion_index,max_congestion_index,total_emission_kg,pct_stretches_congested,total_daily_vehicles,peak_hour_vehicles,avg_trip_duration_min,transport_cost_burden_pct,pct_private_car,pct_moto_taxi,pct_minibus,is_weekend,label_congested
Mbankomo,Friday,4,1.2825,1.3932,284.7216,0.2,165,54,54.18,17.15,15.52,5.17,2.16,0,0
Mbankomo,Monday,0,1.8696,2.031,415.052,0.8,209,65,54.18,17.15,15.52,5.17,2.16,0,1
Mbankomo,Saturday,5,1.0296,1.1185,228.5794,0.0,142,41,54.18,17.15,15.52,5.17,2.16,1,0
Mbankomo,Sunday,6,12.7891,17.9538,2724.4379,0.8,114,32,54.18,17.15,15.52,5.17,2.16,1,1
Mbankomo,Thursday,3,3.2786,8.717,613.0864,0.6,186,61,54.18,17.15,15.52,5.17,2.16,0,1
Mbankomo,Tuesday,1,1.7612,1.9132,390.991,0.8,207,63,54.18,17.15,15.52,5.17,2.16,0,1
Mbankomo,Wednesday,2,1.6799,1.8249,372.9452,0.8,195,64,54.18,17.15,15.52,5.17,2.16,0,1
Mfou,Friday,4,5.7314,28.5023,1334.9353,0.1429,281,85,45.4,13.16,19.54,10.34,67.82,0,1
Mfou,Monday,0,2.07,3.1658,1002.3564,0.8571,310,91,45.4,13.16,19.54,10.34,67.82,0,1
Mfou,Saturday,5,1.1184,1.7104,541.5414,0.1429,186,61,45.4,13.16,19.54,10.34,67.82,1,0
Mfou,Sunday,6,15.3587,37.0676,5988.8575,0.8571,161,52,45.4,13.16,19.54,10.34,67.82,1,1
Mfou,Thursday,3,1.952,2.9852,945.1749,0.8571,288,87,45.4,13.16,19.54,10.34,67.82,0,1
Mfou,Tuesday,1,2.0562,3.1446,995.6292,0.8571,298,86,45.4,13.16,19.54,10.34,67.82,0,1
Mfou,Wednesday,2,2.0006,3.0596,968.7204,0.8571,296,87,45.4,13.16,19.54,10.34,67.82,0,1
Soa,Friday,4,2.1929,2.1929,1668.6691,0.9,719,254,45.79,16.6,12.87,45.61,39.18,0,1
Soa,Monday,0,5.3147,5.3147,4044.205,0.9,1065,404,45.79,16.6,12.87,45.61,39.18,0,1
Soa,Saturday,5,1.0,1.0,760.944,0.0,432,216,45.79,16.6,12.87,45.61,39.18,1,0
Soa,Sunday,6,27.4822,27.4822,20912.4411,0.9,197,50,45.79,16.6,12.87,45.61,39.18,1,1
Soa,Thursday,3,3.6497,3.6497,2777.2527,0.9,977,344,45.79,16.6,12.87,45.61,39.18,0,1
Soa,Tuesday,1,4.9594,4.9594,3773.8188,0.9,1047,388,45.79,16.6,12.87,45.61,39.18,0,1
Soa,Wednesday,2,4.9594,4.9594,3773.8188,0.9,977,344,45.79,16.6,12.87,45.61,39.18,0,1
