node_id,lat,lon,degree_centrality,betweenness_centrality,closeness_centrality,street_count
331136274,3.8264408,11.5173432,0.000305,0.182377,4.2e-05,4
331136280,3.8481214,11.5210668,0.000229,0.202422,4.6e-05,3
331136281,3.8514999,11.5217282,0.000153,0.203086,4.6e-05,3
331136285,3.8614192,11.5210185,0.000114,0.083827,4.7e-05,3
331136286,3.8632864,11.5199133,0.000191,9.1e-05,4.6e-05,3
331136293,3.8788144,11.5168357,0.000229,0.000148,4.5e-05,3
331137363,3.825246,11.5168641,0.000229,0.192477,4.2e-05,3
331137980,3.7922374,11.5225332,0.000229,0.050947,3.5e-05,3
331137983,3.7993234,11.5221983,0.000114,0.022881,3.6e-05,3
401774872,3.8181795,11.5092645,0.000229,0.021572,4e-05,3
401774873,3.8100572,11.511513,0.000114,0.008119,3.9e-05,3
401774878,3.8077095,11.5100396,0.000191,0.087384,3.9e-05,3
401774881,3.8623108,11.5208546,0.000229,0.020635,4.6e-05,4
401774884,3.8616511,11.5202889,0.000153,0.178336,4.7e-05,4
401774897,3.8614977,11.5230726,0.000229,0.058635,4.6e-05,4
401774905,3.8648337,11.5280496,0.000229,0.088938,4.5e-05,3
401774907,3.865425,11.5277153,0.000229,0.00376,4.5e-05,3
401774912,3.8679242,11.5277456,0.000229,0.001162,4.4e-05,3
401774918,3.8694344,11.5311448,0.000229,0.000364,4.4e-05,3
401774920,3.8690607,11.5317984,0.000229,0.00052,4.4e-05,3
401774931,3.8707231,11.534337,0.000191,0.084442,4.4e-05,3
401774933,3.871424,11.5334457,0.000229,0.001505,4.3e-05,3
401774939,3.8732273,11.530666,0.000229,0.001285,4.3e-05,3
401774941,3.8733898,11.5301698,0.000229,0.00125,4.3e-05,3
401774950,3.8721009,11.5259171,0.000305,0.015497,4.4e-05,4
401774976,3.8745331,11.5298362,0.000229,0.013515,4.3e-05,3
401774982,3.8784982,11.5331797,0.000229,0.013054,4.2e-05,3
401774990,3.8811444,11.5343199,0.000229,0.012755,4.2e-05,3
401774993,3.885942,11.5360109,0.000229,0.012609,4.2e-05,4
401775019,3.8658785,11.5156912,0.000114,0.128044,4.7e-05,3
401775024,3.8664965,11.5150434,0.000114,0.121832,4.6e-05,3
401775025,3.8663308,11.5149889,0.000114,0.121794,4.6e-05,3
401775052,3.8636992,11.5186526,0.000229,7e-06,4.6e-05,3
401775056,3.8640108,11.5176634,0.000153,0.125143,4.6e-05,3
401775067,3.8646636,11.5137329,0.000229,0.000651,4.6e-05,3
401775068,3.8652749,11.513327,0.000229,0.001727,4.6e-05,3
401775070,3.8659714,11.5132276,0.000153,0.001855,4.6e-05,3
401775090,3.8614128,11.5153738,0.000229,9.5e-05,4.5e-05,3
401786822,3.8679725,11.5122823,0.000153,0.003828,4.6e-05,3
401786824,3.8700456,11.5110599,0.000229,0.001661,4.5e-05,3
401786828,3.8674786,11.5123697,0.000114,0.113007,4.6e-05,3
401786864,3.8715109,11.4746587,0.000153,0.059518,4e-05,3
401786866,3.8716835,11.468423,0.000153,0.057545,3.9e-05,3
401786898,3.872429,11.5066097,0.000229,0.00218,4.5e-05,4
401786900,3.8729762,11.5057919,0.000229,0.000255,4.5e-05,3
401786901,3.8734613,11.5041788,0.000229,0.000186,4.5e-05,3
401786951,3.8740206,11.5133337,0.000153,0.011278,4.5e-05,3
401786960,3.8774424,11.5043003,0.000305,0.002145,4.4e-05,4
401786961,3.8771045,11.5048273,0.000305,0.004226,4.4e-05,4
401786962,3.8768911,11.5061563,0.000229,0.003966,4.4e-05,3
401786963,3.8765925,11.5079026,0.000229,0.00418,4.4e-05,3
401786977,3.881158,11.5151501,0.000267,0.014412,4.4e-05,4
401786987,3.8984837,11.5319196,0.000229,0.009189,3.9e-05,3
401786992,3.9062629,11.5326105,0.000229,0.001095,2.9e-05,3
401787015,3.941956,11.5184111,0.000229,0.056183,1.7e-05,4
418227408,3.7937426,11.4749404,0.000229,0.017106,3.4e-05,3
418297818,3.9156995,11.520759,0.000153,0.036192,2.8e-05,3
418297889,3.8990136,11.5323181,0.000229,0.008893,3.8e-05,3
418297900,3.8927544,11.5296213,0.000229,0.01332,4e-05,3
418297902,3.8939914,11.5297882,0.000229,0.01105,4e-05,3
418297904,3.8934507,11.5296651,0.000229,0.011199,4e-05,3
418297914,3.8872106,11.5304799,0.000191,0.01393,4.2e-05,3
418297916,3.8869416,11.531592,0.000153,0.046421,4.1e-05,3
418501720,3.8914598,11.516212,7.6e-05,0.0,4.1e-05,1
418501721,3.89046,11.5143055,0.000229,0.032625,4.2e-05,3
418501725,3.8920797,11.5127391,0.000229,0.032249,4.2e-05,3
418501734,3.8986264,11.5054639,0.000114,0.012681,4e-05,3
