corridor,day,day_num,congestion_index
Mbankomo,Monday,0,1.8696000000000002
Mbankomo,Tuesday,1,1.761175
Mbankomo,Wednesday,2,1.679925
Mbankomo,Thursday,3,3.2786000000000004
Mbankomo,Friday,4,1.2825
Mbankomo,Saturday,5,1.029625
Mbankomo,Sunday,6,12.789050000000001
Mfou,Monday,0,2.0700499999999997
Mfou,Tuesday,1,2.0561833333333333
Mfou,Wednesday,2,2.0006
Mfou,Thursday,3,1.95195
Mfou,Friday,4,5.731416666666667
Mfou,Saturday,5,1.1184
Mfou,Sunday,6,15.358716666666666
Soa,Monday,0,5.3147
Soa,Tuesday,1,4.9594
Soa,Wednesday,2,4.9594
Soa,Thursday,3,3.6497000000000006
Soa,Friday,4,2.1929
Soa,Saturday,5,1.0
Soa,Sunday,6,27.4822
